"Bảng (Collection)","Trường dữ liệu (Field)","Kiểu dữ liệu (Kiểu NoSQL)","Ràng buộc / Đặc tính","Mô tả chi tiết"
"users","uid","String","Primary Key","Mã định danh duy nhất của Firebase Auth"
"users","email","String","Unique, Required","Email đăng ký"
"users","displayName","String","Required","Tên hiển thị trên ứng dụng"
"users","photoURL","String","Optional","Đường dẫn URL ảnh đại diện (S3)"
"users","role","Enum (String)","Default: user","Cấp bậc quyền: user | mod | tester | admin"
"users","lifestyle","Map (Object)","Optional","Lưu thông tin sở thích, thời gian sinh hoạt, thói quen"
"users","gender","String","Optional","Giới tính"
"users","createdAt","Timestamp","Auto","Thời gian tạo tài khoản gốc"
"posts","id","String","Primary Key","Mã định danh tự động sinh cho bài đăng phòng/roommate"
"posts","userId","String","Foreign Key -> users.uid","Mã người tạo bài viết"
"posts","title","String","Required","Tiêu đề tin đăng"
"posts","category","Enum (String)","Required","Loại tin: roommate (Tìm người) | roomshare (Pass phòng)"
"posts","price","String","Required","Mức giá / Yêu cầu kinh phí"
"posts","location","String","Required","Khu vực (Quận/Thành phố/Địa chỉ)"
"posts","status","Enum (String)","Default: pending","Trạng thái duyệt: active | pending | hidden | rejected"
"posts","images","Array<String>","Optional","Mảng các URL ảnh đính kèm lấy từ AWS S3"
"posts","roommateType","Enum (String)","Optional","Phân nhánh loại roommate (have-room/find-partner)"
"posts","preferences","Map (Object)","Optional","Các tiêu chí chọn roommate (giới tính, vật nuôi...)"
"posts","viewCount","Number","Default: 0","Tổng lượng người click xem bài"
"community_posts","id","String","Primary Key","Mã định danh bài viết cộng đồng"
"community_posts","authorId","String","Foreign Key -> users.uid","Mã người viết"
"community_posts","authorName","String","Bản sao (Snapshot)","Tên người viết (Để tăng tốc độ load NoSQL Tránh Join Data)"
"community_posts","category","Enum (String)","Required","tips | drama | review | blog..."
"community_posts","content","String","Required","Nội dung text/Markdown"
"community_posts","likes","Number","Default: 0","Số lượt thích"
"community_posts","comments","Number","Default: 0","Tổng số comment trong Sub-collection"
"comments","id","String","Primary Key","Mã định danh bình luận"
"comments","postId","String","Foreign Key -> comm_posts.id","Thuộc về Topic Cộng đồng nào"
"comments","authorId","String","Foreign Key -> users.uid","Mã người bình luận"
"comments","content","String","Required","Nội dung"
"comments","createdAt","Timestamp","Auto","Thời điểm đăng bình luận"
"reports","id","String","Primary Key","Mã định danh Report (cờ)"
"reports","listingId","String","Foreign Key -> posts.id","Tin đăng bị báo xấu (Nếu có)"
"reports","reportedBy","String","Foreign Key -> users.uid","Người gửi ticket report"
"reports","reason","String","Required","Lý do (Lừa đảo/Ngôn từ...)"
"reports","status","Enum (String)","Default: pending","pending | reviewed | resolved"
"reports","reviewedBy","String","Foreign Key -> users.uid","Admin nào đóng ticket"
"saved_posts","id","String","Primary Key","Mã định danh dòng lưu"
"saved_posts","userId","String","Foreign Key -> users.uid","Chủ sở hữu mục yêu thích"
"saved_posts","listingId","String","Foreign Key -> posts.id","Bài post được ưu thích"
